0.ogg	Звук включения.
1.ogg	Ожидание настройки сети.
2.ogg	Не удалось подключиться к сети Wi-Fi. Проверьте пароль и попробуйте позже.
3.ogg	Не удалось подключиться к серверу. Проверьте локальную сеть и попробуйте позже.
4.ogg	Робот вышел из режима настройки сети.
5.ogg	Сеть подключена.
6.ogg	Не удалось подключиться к сети. Попробуйте позже.
7.ogg	Начинаю уборку.
8.ogg	Начинаю точечную уборку.
9.ogg	Начинаю уборку по расписанию.
10.ogg	Возобновляю уборку.
11.ogg	Пауза.
12.ogg	Уборка завершена.
13.ogg	Возвращаюсь на базу для зарядки.
14.ogg	Низкий заряд. Возвращаюсь на базу для зарядки. После зарядки продолжу работу.
15.ogg	Сейчас вернусь в исходную точку.
16.ogg	Низкий заряд. Сейчас вернусь в исходную точку. Пожалуйста, зарядите меня.
17.ogg	Пожалуйста, перенесите робота на базу для зарядки.
18.ogg	Заряжаюсь.
19.ogg	Перед выключением снимите робота с базы.
20.ogg	Низкий заряд.
21.ogg	Низкий заряд. Робот выключится.
22.ogg	Пожалуйста, перенесите робота в зону, которую нужно убрать.
23.ogg	Бак для воды установлен.
24.ogg	Проверьте, правильно ли установлен бак для воды.
25.ogg	Низкий заряд. Невозможно выполнить уборку по расписанию.
26.ogg	Восстанавливаю заводские настройки.
27.ogg	Идёт обновление. Это займёт около пяти минут. Не выключайте устройство и не запускайте уборку.
28.ogg	Обновление выполнено.
29.ogg	Обновление не удалось. Повторите попытку.
30.ogg	Определяю местоположение. Подождите.
31.ogg	Не удалось определить местоположение. Карта недействительна. Робот начнёт новую уборку.
32.ogg	Обнаружены изменения в обстановке. Нажмите кнопку и запустите новый цикл уборки.
33.ogg	Ошибка датчика визуальной навигации. Протрите его и перезапустите.
34.ogg	Контейнер для пыли не установлен. Установите его.
35.ogg	Ошибка основной щётки. Проверьте и очистите её.
36.ogg	Ошибка боковой щётки. Проверьте и очистите её.
37.ogg	Ошибка правого колеса. Проверьте и очистите его.
38.ogg	Ошибка левого колеса. Проверьте и очистите его.
39.ogg	Пожалуйста, очистите датчик перепада высоты.
40.ogg	Робот застрял. Переместите его на другое место и перезапустите.
41.ogg	Колёса робота оторваны от пола. Поставьте робота обратно на пол.
42.ogg	Проверьте и очистите фильтр.
43.ogg	Ошибка бампера. Слегка нажмите на него и проверьте, возвращается ли он.
44.ogg	Ошибка. Проверьте руководство пользователя или обратитесь в службу поддержки.
45.ogg	Я здесь.
46.ogg	Робот и телефон подключены. Вернитесь в приложение и дождитесь результата.
47.ogg	Начинаю зарядку.
48.ogg	Низкий заряд. Возвращаюсь на базу.
49.ogg	Обнаружено сильное магнитное поле. Уберите робота и перезапустите.
50.ogg	Ошибка зарядки. Очистите контакты зарядки.
51.ogg	Аккумулятор перегрелся или переохладился. Подождите, пока температура нормализуется, затем продолжайте пользоваться.
52.ogg	Робот наклонён. Поставьте его на ровную поверхность и перезапустите.
53.ogg	Обнаружена виртуальная запретная зона. Уберите робота и перезапустите.
54.ogg	Местоположение определено. Возобновляю уборку.
55.ogg	Местоположение определено. Возобновляю возвращение на базу.
56.ogg	Начинаю уборку выбранной комнаты.
57.ogg	Начинаю уборку по зонам.
58.ogg	Продолжаю уборку.
59.ogg	Мытьё пола завершено. Снимите бак для воды вовремя.
60.ogg	Ошибка датчика оптического потока. Протрите датчик и перезапустите.
61.ogg	Начинаю мытьё пола.
62.ogg	Начинаю уборку в режиме дистанционного управления.
63.ogg	Бак для воды снят.
64.ogg	Не удалось определить местоположение. Карта недействительна. Робот вернётся на базу.
65.ogg	Возобновляю возвращение на базу.
66.ogg	Фильтр изношен. Замените его вовремя.
67.ogg	Боковая щётка изношена. Замените её вовремя.
68.ogg	Основная щётка изношена. Замените её вовремя.
69.ogg	Путь уборки заблокирован. Переместите робота и перезапустите.
70.ogg	Снимите и очистите моющую салфетку.
71.ogg	Ошибка лазерного датчика. Проверьте и очистите его.
72.ogg	Проверьте, не заклинила ли крышка лазерного датчика расстояния.
73.ogg	Ошибка датчика края. Проверьте и очистите его.
74.ogg	Пожалуйста, очистите датчики препятствий.
75.ogg	Фильтр может быть влажным или засорённым.
76.ogg	Начинается точечная уборка.
77.ogg	Запускайте робота на участке без ковра.
78.ogg	Очистите 3D-датчик обхода препятствий.
79.ogg	Ошибка 3D-датчика обхода препятствий. Перезапустите робота или обратитесь в поддержку.
80.ogg	Неисправен передатчик 3D-датчика обхода препятствий. Перезапустите робота или обратитесь в сервис.
81.ogg	Ошибка ультразвукового датчика. Перезапустите робота или обратитесь в поддержку.
82.ogg	Начинаю построение карты.
83.ogg	Продолжаю построение карты.
84.ogg	Построение карты завершено.
85.ogg	Местоположение определено. Продолжаю построение карты.
86.ogg	Не удалось определить местоположение. Перезапускаю построение карты.
87.ogg	Низкий заряд. Возвращаюсь на базу.
88.ogg	Вхожу в режим дистанционного управления.
89.ogg	Возобновляю зарядку.
90.ogg	Продолжаю уборку.
91.ogg	Бак с чистой водой не установлен. Установите его, прежде чем робот продолжит работу.
92.ogg	Бак для грязной воды не установлен. Установите его, прежде чем робот продолжит работу.
93.ogg	В баке с чистой водой недостаточно воды. Долейте воду, прежде чем робот продолжит работу.
94.ogg	Бак для грязной воды заполнен. Слейте грязную воду, прежде чем робот продолжит работу.
95.ogg	Поддон для промывки салфетки не установлен. Робот не может вернуться на базу.
96.ogg	Поддон для промывки салфетки переполнен. Проверьте, не заблокирован ли слив.
97.ogg	Мешок для сбора пыли не установлен. Установите его, прежде чем робот продолжит работу.
98.ogg	Мешок для сбора пыли заполнен. Очистите его.
99.ogg	Верхняя крышка отсека зарядки и сбора пыли не закрыта. Закройте её, прежде чем робот продолжит работу.
100.ogg	Воздуховод отсека зарядки и сбора пыли заблокирован. Проверьте его.
